-1.688971e+01,-1.304640e+01,-1.186754e+01,-1.715368e+01,-1.887062e+01,-1.689166e+01,-2.302391e+01,-1.943619e+01,-1.521541e+01,-1.720479e+01,-2.385146e+01,
-1.089683e+01,-2.000000e+02,-8.776839e+00,-2.000000e+02,-2.071377e+01,-2.000000e+02,-1.767112e+01,-1.919179e+01,-1.764311e+01,-1.603842e+01,-2.544398e+01,
-1.353993e+01,-1.937242e+01,-1.649151e+01,-2.117441e+01,-2.453715e+01,-2.746059e+01,-2.000000e+02,-1.071763e+01,-1.303250e+01,-2.000000e+02,-2.073412e+01,
-1.318526e+01,-2.000000e+02,-2.005096e+01,-2.000000e+02,-3.138328e+01,-2.931501e+01,-3.270682e+01,-2.795891e+01,-1.481649e+01,-1.816156e+01,-2.285304e+01,
-1.788087e+01,-8.838654e+00,-2.486727e+01,-2.854956e+01,-2.515736e+01,-3.064330e+01,-3.629624e+01,-2.000000e+02,-9.514440e+00,-1.737231e+01,-1.919318e+01,
-6.959582e+00,-1.494353e+01,-1.784067e+01,-2.603492e+01,-3.038526e+01,-3.230306e+01,-3.595678e+01,-3.469443e+01,-3.487255e+01,-2.000000e+02,-1.965564e+01,
-4.216761e+00,-2.000000e+02,-1.064956e+01,-2.000000e+02,-2.535284e+01,-2.713091e+01,-3.663959e+01,-3.693723e+01,-3.213488e+01,-3.133689e+01,-2.787044e+01,
-9.441548e+00,-1.089986e+01,-1.804077e+01,-1.789455e+01,-2.000000e+02,-2.841185e+01,-2.749851e+01,-2.744162e+01,-2.479777e+01,-2.722204e+01,-3.581230e+01,
-1.593291e+01,-1.639956e+01,-2.000000e+02,-2.000000e+02,-1.336982e+01,-2.064326e+01,-2.166758e+01,-2.000000e+02,-2.000000e+02,-6.901216e+00,-2.828790e+01,
-1.804059e+01,-1.490500e+01,-1.570854e+01,-9.535675e+00,-9.015160e+00,-2.000000e+02,-1.423215e+01,-1.307091e+01,-2.027937e+01,-1.204920e+01,-2.589175e+01,
-2.198067e+01,-1.598361e+01,-1.713329e+01,-1.108301e+01,-1.211605e+01,-1.296682e+01,-1.932836e+01,-1.772028e+01,-1.432243e+01,-2.125351e+01,-1.937302e+01,
