tx_x_pos, tx_y_pos, tx_z_pos, tx_freq, rx_x_pos, rx_y_pos, rx_z_pos, near_tx_x_pos, near_tx_y_pos, near_tx_z_pos, center_x_pos, center_y_pos, center_z_pos,near_rx_x_pos, near_rx_y_pos, near_rx_z_pos, d1, d2, d3, d4, v_near_tx, v_cen, v_near_rx, c_v_near_tx, c_v_cen, c_v_near_rx, c1_correct, c2_correct, diff_los_dB, total_loss_dB
0,5,0,2.3e+09,26.144,1.5,-71.8728,13.512,26.3544,-37.1462,20.3229,31.6762,-55.8701,20.55,31.7908,-56.4943,44.9269,20.6226,0.674064,34.4286,3.42813,21.1749,3.03748,23.5543,39.4008,22.5215,-5.45024,-10.606,101.533,178.889
0,5,0,2.3e+09,25.2241,1.5,-71.8728,13.1269,26.8545,-37.4033,18.8153,31.6761,-53.6118,19.9641,30.9143,-56.8853,45.2652,17.8415,3.5519,33.4289,3.20509,21.0886,5.39844,22.979,39.3652,27.4799,-6.31431,-5.17608,101.314,178.636
0,5,0,2.3e+09,24.1529,1.5,-71.8728,12.6715,27.3753,-37.7072,17.2041,31.6722,-51.195,19.2716,29.8912,-57.3475,45.6405,14.8636,6.73053,32.2626,2.85625,20.9878,6.83666,21.9996,39.3234,29.537,-7.56046,-2.9985,101.419,178.701
0,5,0,2.3e+09,22.931,1.5,-71.8728,15.4913,31.6408,-48.5546,16.5415,30.6677,-51.8462,18.4679,28.7207,-57.8839,57.5088,3.58953,6.6299,30.9286,4.9764,20.6046,6.56362,26.7725,39.1628,29.1816,-4.69836,-3.57043,103.386,180.624
0,5,0,2.3e+09,21.7882,1.5,-71.8728,14.0555,31.6083,-46.3649,14.2416,31.6431,-46.9788,17.7024,27.6216,-58.3948,55.2744,0.642426,12.5887,29.6764,1.3517,20.8074,8.18621,16.0085,39.2482,31.1085,-13.6943,-2.09989,102.159,179.358
0,5,0,2.3e+09,19.4191,1.5,-71.8728,10.5674,30.6202,-39.1115,11.5389,31.6741,-42.7071,16.0716,25.3267,-59.4832,47.9351,3.8708,18.5006,27.0632,2.10922,20.6742,8.90708,19.475,39.1922,31.8451,-12.3857,-0.743935,103.642,180.765
0,5,0,2.3e+09,18.1137,1.5,-71.8728,9.95932,31.26,-39.5174,10.3003,31.698,-40.8704,15.1468,24.0507,-60.1005,48.4809,1.46245,21.2548,25.611,1.23438,20.6353,8.96832,15.3538,39.1758,31.9049,-17.1542,-0.645794,104.234,181.319
